theta1,theta2,theta3,theta4,theta5,theta6,x,y,z,total_rotation
5.797,18.6,60.38,0.0,-79.0,0.0,14.63,1.5,1.6,163.8
4.2,0.8,96.2,0.0,-97.0,0.0,14.59,1.1,1.6,198.2
4.4,0.8,96.2,0.0,-97.0,0.0,14.58,1.1,1.6,198.4
4.598,0.8,96.2,0.0,-97.0,0.0,14.57,1.2,1.6,198.5
5.0,0.8,96.2,0.0,-97.0,0.0,14.57,1.3,1.6,199.0
5.4,0.8,96.2,0.0,-97.0,0.0,14.56,1.4,1.6,199.4
5.598,0.8,96.2,0.0,-97.0,0.0,14.55,1.4,1.6,199.5
5.797,0.8,96.2,0.0,-97.0,0.0,14.55,1.5,1.6,199.8
6.0,34.6,30.0,0.0,-64.6,0.0,13.62,1.4,1.6,135.2
6.2,34.6,30.0,0.0,-64.6,0.0,13.61,1.5,1.6,135.4
6.598,34.6,30.0,0.0,-64.6,0.0,13.6,1.6,1.6,135.8
7.0,34.6,30.0,0.0,-64.6,0.0,13.59,1.7,1.6,136.2
7.4,34.6,30.0,0.0,-64.6,0.0,13.58,1.8,1.6,136.6
7.598,34.6,30.0,0.0,-64.6,0.0,13.57,1.8,1.6,136.8
7.797,34.6,30.0,0.0,-64.6,0.0,13.57,1.9,1.6,137.0
6.2,33.4,32.2,0.0,-65.6,0.0,13.72,1.5,1.6,137.4
6.4,33.4,32.2,0.0,-65.6,0.0,13.71,1.5,1.6,137.6
6.598,33.4,32.2,0.0,-65.6,0.0,13.71,1.6,1.6,137.8
7.0,33.4,32.2,0.0,-65.6,0.0,13.7,1.7,1.6,138.2
7.2,33.4,32.2,0.0,-65.6,0.0,13.69,1.7,1.6,138.4
7.4,33.4,32.2,0.0,-65.6,0.0,13.69,1.8,1.6,138.6
7.598,33.4,32.2,0.0,-65.6,0.0,13.68,1.8,1.6,138.8
7.797,33.4,32.2,0.0,-65.6,0.0,13.67,1.9,1.6,139.0
6.0,30.6,37.4,0.0,-68.0,0.0,13.96,1.5,1.6,142.0
6.0,30.8,37.0,0.0,-67.8,0.0,13.95,1.5,1.6,141.6
6.2,30.8,37.0,0.0,-67.8,0.0,13.94,1.5,1.6,141.8
6.4,30.6,37.4,0.0,-68.0,0.0,13.94,1.6,1.6,142.4
6.4,30.8,37.0,0.0,-67.8,0.0,13.93,1.6,1.6,142.0
6.598,30.8,37.0,0.0,-67.8,0.0,13.92,1.6,1.6,142.2
6.797,30.6,37.4,0.0,-68.0,0.0,13.94,1.7,1.6,142.8
6.797,30.8,37.0,0.0,-67.8,0.0,13.92,1.7,1.6,142.5
7.0,30.6,37.4,0.0,-68.0,0.0,13.93,1.7,1.6,143.0
7.2,30.6,37.4,0.0,-68.0,0.0,13.92,1.8,1.6,143.2
7.2,30.8,37.0,0.0,-67.8,0.0,13.91,1.7,1.6,142.8
7.4,30.8,37.0,0.0,-67.8,0.0,13.9,1.8,1.6,143.0
7.598,30.6,37.4,0.0,-68.0,0.0,13.91,1.8,1.6,143.6
7.797,30.6,37.4,0.0,-68.0,0.0,13.9,1.9,1.6,143.8
7.797,30.8,37.0,0.0,-67.8,0.0,13.89,1.9,1.6,143.5
6.2,18.6,60.38,0.0,-79.0,0.0,14.62,1.6,1.6,164.2
6.4,18.6,60.38,0.0,-79.0,0.0,14.61,1.6,1.6,164.4
6.598,18.6,60.38,0.0,-79.0,0.0,14.61,1.7,1.6,164.5
7.0,18.6,60.38,0.0,-79.0,0.0,14.6,1.8,1.6,165.0
7.2,18.6,60.38,0.0,-79.0,0.0,14.59,1.8,1.6,165.2
7.4,18.6,60.38,0.0,-79.0,0.0,14.58,1.9,1.6,165.4
7.797,18.6,60.38,0.0,-79.0,0.0,14.57,2.0,1.6,165.8
6.0,0.8,96.2,0.0,-97.0,0.0,14.54,1.5,1.6,200.0
6.2,0.8,96.2,0.0,-97.0,0.0,14.54,1.6,1.6,200.2
6.4,0.8,96.2,0.0,-97.0,0.0,14.53,1.6,1.6,200.4
6.598,0.8,96.2,0.0,-97.0,0.0,14.52,1.7,1.6,200.5
7.0,0.8,96.2,0.0,-97.0,0.0,14.52,1.8,1.6,201.0
7.2,0.8,96.2,0.0,-97.0,0.0,14.51,1.8,1.6,201.2
7.4,0.8,96.2,0.0,-97.0,0.0,14.5,1.9,1.6,201.4
7.598,0.8,96.2,0.0,-97.0,0.0,14.49,1.9,1.6,201.5
7.797,0.8,96.2,0.0,-97.0,0.0,14.49,2.0,1.6,201.8
8.0,34.6,30.0,0.0,-64.6,0.0,13.56,1.9,1.6,137.2
8.195,34.6,30.0,0.0,-64.6,0.0,13.55,1.9,1.6,137.4
8.4,34.6,30.0,0.0,-64.6,0.0,13.55,2.0,1.6,137.6
8.6,34.6,30.0,0.0,-64.6,0.0,13.54,2.0,1.6,137.8
8.8,34.6,30.0,0.0,-64.6,0.0,13.53,2.1,1.6,138.0
9.195,34.6,30.0,0.0,-64.6,0.0,13.52,2.2,1.6,138.4
9.4,34.6,30.0,0.0,-64.6,0.0,13.51,2.2,1.6,138.6
